model,scenario,input,dataset,turn,source_log,total_environments,real_failures,degenerate_empty_input,parse_fail,empty_graph_total,other_error,real_error_rate_pct
deepseek-v4-flash,s6,ref,confOf-ekaw,turn3,article_scenarios/outputs/turn3/s6/confOf-ekaw/confOf-ekaw_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,20,1,0,1,0,0,5.0
deepseek-v4-flash,s6,ref,confOf-ekaw,turn4,article_scenarios/outputs/turn4/s6/confOf-ekaw/confOf-ekaw_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,20,0,0,0,0,0,0.0
deepseek-v4-flash,s6,ref,confOf-ekaw,turn5,article_scenarios/outputs/turn5/s6/confOf-ekaw/confOf-ekaw_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,20,1,0,1,0,0,5.0
deepseek-v4-flash,s6,ref,human-mouse,turn1,article_scenarios/outputs/turn1/s6/human-mouse/human-mouse_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,1516,11,0,11,0,0,0.73
deepseek-v4-flash,s6,ref,human-mouse,turn2,article_scenarios/outputs/turn2/s6/human-mouse/human-mouse_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,1516,7,0,7,0,0,0.46
deepseek-v4-flash,s6,ref,human-mouse,turn3,article_scenarios/outputs/turn3/s6/human-mouse/human-mouse_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,1516,15,0,13,2,0,0.99
deepseek-v4-flash,s6,ref,human-mouse,turn4,article_scenarios/outputs/turn4/s6/human-mouse/human-mouse_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,1516,7,0,4,3,0,0.46
deepseek-v4-flash,s6,ref,human-mouse,turn5,article_scenarios/outputs/turn5/s6/human-mouse/human-mouse_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,1516,18,0,18,0,0,1.19
deepseek-v4-flash,s6,ref,swo-acm,turn1,article_scenarios/outputs/turn1/s6/swo-acm/swo-acm_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,30,1,0,1,0,0,3.33
deepseek-v4-flash,s6,ref,swo-acm,turn2,article_scenarios/outputs/turn2/s6/swo-acm/swo-acm_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,30,2,0,2,0,0,6.67
deepseek-v4-flash,s6,ref,swo-acm,turn3,article_scenarios/outputs/turn3/s6/swo-acm/swo-acm_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,30,1,0,1,0,0,3.33
deepseek-v4-flash,s6,ref,swo-acm,turn4,article_scenarios/outputs/turn4/s6/swo-acm/swo-acm_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,30,3,0,3,0,0,10.0
deepseek-v4-flash,s6,ref,swo-acm,turn5,article_scenarios/outputs/turn5/s6/swo-acm/swo-acm_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,30,2,0,2,0,0,6.67
